sample_id,method,threshold_policy,threshold_value,precision,recall,f1,iou,tp,fp,fn,tn,gt_changed_pixels,pred_changed_pixels
test_19,B2_SSIM,validation_f1,0.8999999761581421,0.07404508900002853,0.6586179392357334,0.13312374733895405,0.0713082868504002,36332,454342,18832,539070,55164,490674
test_19,B3_CVA,validation_f1,0.4050000011920929,0.06058365244949161,0.20792545863244144,0.09382835219580431,0.04922345388144314,11470,177855,43694,815557,55164,189325
test_2,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.06429755981994788,0.053933745354822045,0.05866142157763344,0.030216996782346326,2714,39496,47607,958759,50321,42210
test_2,B2_SSIM,validation_f1,0.8999999761581421,0.06008647488802859,0.55426164026947,0.10841940361747865,0.05731683007576894,27891,436290,22430,561965,50321,464181
test_2,B3_CVA,validation_f1,0.4050000011920929,0.06605484298982751,0.05935891576081556,0.06252812928480966,0.03227305140782678,2987,42233,47334,956022,50321,45220
test_20,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.22870155258386218,0.14957682668655528,0.18086390535858823,0.09942296559963543,32289,108895,183580,723812,215869,141184
test_20,B2_SSIM,validation_f1,0.8999999761581421,0.23305504551902043,0.6461928299107329,0.3425621001706757,0.2066817104918086,139493,459048,76376,373659,215869,598541
test_20,B3_CVA,validation_f1,0.4050000011920929,0.22966626799916212,0.1574519731874424,0.18682357597110993,0.10303662318528646,33989,114004,181880,718703,215869,147993
test_21,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.15955458814801335,0.14461798066431525,0.15171954810907942,0.08208686509336809,22797,120082,134839,770858,157636,142879
test_21,B2_SSIM,validation_f1,0.8999999761581421,0.1886436872316639,0.6369040066989774,0.29107444941009003,0.17032599770634418,100399,431816,57237,459124,157636,532215
test_21,B3_CVA,validation_f1,0.4050000011920929,0.16136886515926943,0.15261742241619936,0.15687118344564965,0.08511135089239913,24058,125029,133578,765911,157636,149087
test_22,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.0822292102084252,0.16904156565955183,0.11063884678641685,0.058558866100445146,8577,95729,42162,902108,50739,104306
test_22,B2_SSIM,validation_f1,0.8999999761581421,0.06452549715496574,0.6349553597824159,0.1171463374725015,0.06221744143155927,32217,467074,18522,530763,50739,499291
test_22,B3_CVA,validation_f1,0.4050000011920929,0.08148510989559238,0.17704330002562133,0.1116039259535346,0.05909985065494714,8983,101258,41756,896579,50739,110241
test_23,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.1006030486367565,0.15834956559379154,0.12303756111037706,0.0655514242379639,10243,91573,54443,892317,64686,101816
test_23,B2_SSIM,validation_f1,0.8999999761581421,0.07847390223071685,0.6448845190613116,0.13992124293936914,0.07522328955601759,41715,489863,22971,494027,64686,531578
test_23,B3_CVA,validation_f1,0.4050000011920929,0.09927781332845781,0.1678879510249513,0.12477308761690296,0.06653759435349475,10860,98530,53826,885360,64686,109390
test_24,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.03577772903037107,0.14177603545253112,0.057136773125521616,0.029408541134127414,8318,224173,50352,765733,58670,232491
test_24,B2_SSIM,validation_f1,0.8999999761581421,0.065566766771798,0.6225668996079768,0.1186388653855211,0.06306012344080453,36526,520555,22144,469351,58670,557081
test_24,B3_CVA,validation_f1,0.4050000011920929,0.036271998678013714,0.14965058803477074,0.05839124796328933,0.03007364274704573,8780,233280,49890,756626,58670,242060
test_25,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.025397888345722004,0.12924845510723373,0.042453481386957995,0.021687086862710713,5689,218306,38327,786254,44016,223995
test_25,B2_SSIM,validation_f1,0.8999999761581421,0.04673974187949019,0.6606915667030171,0.08730332659867969,0.04564410437512262,29081,593109,14935,411451,44016,622190
test_25,B3_CVA,validation_f1,0.4050000011920929,0.025843284606409993,0.1368820428934933,0.04347794711927029,0.022222058297403063,6025,227111,37991,777449,44016,233136
test_26,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.027601892701213798,0.14781491002570693,0.04651745126743201,0.02381257580090123,4830,170158,27846,845742,32676,174988
test_26,B2_SSIM,validation_f1,0.8999999761581421,0.04644469562133161,0.6652283021177623,0.08682731003904573,0.04538393763127456,21737,446282,10939,569618,32676,468019
test_26,B3_CVA,validation_f1,0.4050000011920929,0.02764536631452375,0.15760803035867305,0.047039696023090556,0.024086355430420835,5150,181138,27526,834762,32676,186288
test_27,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.06341713061279151,0.19608394090418374,0.095838377997434,0.05033101018843286,13259,195817,54360,785140,67619,209076
test_27,B2_SSIM,validation_f1,0.8999999761581421,0.08212020673934141,0.6457060885254144,0.14570926559686836,0.0785795144706744,43662,488022,23957,492935,67619,531684
test_27,B3_CVA,validation_f1,0.4050000011920929,0.0634478672985782,0.20590366612934236,0.097004448562839,0.050974606057055824,13923,205517,53696,775440,67619,219440
test_28,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.1204438503087016,0.1516230386863941,0.1342468585012101,0.07195317296551215,15587,113826,87214,831949,102801,129413
test_28,B2_SSIM,validation_f1,0.8999999761581421,0.10676702642737913,0.6010447369189016,0.18132436513141967,0.09970132202520125,61788,516930,41013,428845,102801,578718
test_28,B3_CVA,validation_f1,0.4050000011920929,0.12046654929577465,0.15974552776723963,0.13735305556601052,0.07374078913690676,16422,119898,86379,825877,102801,136320
test_29,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.11668150858023058,0.20331306353533235,0.14827048353059913,0.08007135070855217,29088,220206,113982,685300,143070,249294
test_29,B2_SSIM,validation_f1,0.8999999761581421,0.15036975504336794,0.6478017753547215,0.24408235715489635,0.13900558386064796,92681,523673,50389,381833,143070,616354
test_29,B3_CVA,validation_f1,0.4050000011920929,0.11864774249498633,0.21420283777172014,0.1527092614185627,0.08266660912067933,30646,227648,112424,677858,143070,258294
test_3,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.014517444494789306,0.21957236842105263,0.027234245108205973,0.013805108407155906,1602,108748,5694,932532,7296,110350
test_3,B2_SSIM,validation_f1,0.8999999761581421,0.009626697105199162,0.6022478070175439,0.018950478182582726,0.009565878073152624,4394,452045,2902,589235,7296,456439
test_3,B3_CVA,validation_f1,0.4050000011920929,0.014491522544256057,0.23382675438596492,0.027291633338665813,0.013834601099631834,1706,116018,5590,925262,7296,117724
test_30,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.06133094014304751,0.1784516047350763,0.09128775152503815,0.04782687992806457,11276,172579,51912,812809,63188,183855
test_30,B2_SSIM,validation_f1,0.8999999761581421,0.06904051323402328,0.6802240931822497,0.12535763762304047,0.06687016155129066,42982,579580,20206,405808,63188,622562
test_30,B3_CVA,validation_f1,0.4050000011920929,0.06132318936328351,0.18802620750775464,0.09248361434153785,0.04848378500801874,11881,181863,51307,803525,63188,193744
test_31,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.08013925070968797,0.1703247591617837,0.10899528905201109,0.05763882470571431,13720,157482,66832,810542,80552,171202
test_31,B2_SSIM,validation_f1,0.8999999761581421,0.09412441897392962,0.647569272023041,0.16435917472240777,0.08953776384743066,52163,502029,28389,465995,80552,554192
test_31,B3_CVA,validation_f1,0.4050000011920929,0.08020413376425771,0.17930032773860363,0.11083144687871696,0.05866678581728523,14443,165635,66109,802389,80552,180078
test_32,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.032516769940346045,0.24756580187197688,0.05748333552122989,0.02959219685080757,3941,117258,11978,915399,15919,121199
test_32,B2_SSIM,validation_f1,0.8999999761581421,0.01809324167652329,0.679376845279226,0.03524776096053815,0.017940053845043717,10815,586922,5104,445735,15919,597737
test_32,B3_CVA,validation_f1,0.4050000011920929,0.03228353844469812,0.25937558891890194,0.05742019371840603,0.02955873088597446,4129,123769,11790,908888,15919,127898
test_33,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.15819150440809016,0.46623499333036905,0.23623089433183844,0.13393527167057848,33554,178556,38414,798052,71968,212110
test_33,B2_SSIM,validation_f1,0.8999999761581421,0.07783422199375754,0.6438000222321032,0.13887831474448703,0.07462076007427772,46333,548945,25635,427663,71968,595278
test_33,B3_CVA,validation_f1,0.4050000011920929,0.15541753864848443,0.4798382614495331,0.23478819566022918,0.13300851211339212,34533,187662,37435,788946,71968,222195
test_34,B1_Pixel_Diff,validation_f1,0.4099999964237213,0.24422153198567476,0.5140435991054395,0.3311256449319053,0.1984125670853121,71944,222641,68013,685978,139957,294585
